Entity,Code,Year,Temperature anomaly (smoothed),Temperature anomaly
Winter,,1978,-0.421,-3.19
Winter,,1979,-0.834,-5.62
Winter,,1980,-0.699,1.1
Winter,,1981,-0.442,2.5
Winter,,1982,-0.609,-1.41
Winter,,1983,-0.183,3.04
Winter,,1984,-0.442,-1.67
Winter,,1985,-0.677,-1.66
Winter,,1986,-0.825,0.88
Winter,,1987,-0.384,2.19
Winter,,1988,-0.087,-0.22
Winter,,1989,0.476,0.01
Winter,,1990,0.507,1.41
Winter,,1991,0.371,1.14
Winter,,1992,0.924,4.12
Winter,,1993,0.509,-1.11
Winter,,1994,0.633,-0.43
Winter,,1995,1.132,3.33
Winter,,1996,1.115,0.71
Winter,,1997,1.003,1.07
Winter,,1998,1.392,3.67
Winter,,1999,1.795,4.04
Winter,,2000,2.079,4.25
Winter,,2001,1.868,-0.97
Winter,,2002,1.799,3.43
Winter,,2003,2.043,1.33
Winter,,2004,2.17,0.84
Winter,,2005,2.16,3.23
Winter,,2006,2.415,3.26
Winter,,2007,2.429,1.21
Winter,,2008,2.112,0.5
Winter,,2009,1.808,1
Winter,,2010,1.23,-1.53
Winter,,2011,1.278,-0.49
Winter,,2012,1.346,4.11
Winter,,2013,1.421,2.08
Winter,,2014,1.239,-0.98
Winter,,2015,1.122,2.06
Winter,,2016,1.251,4.55
Winter,,2017,1.497,3.67
Winter,,2018,1.623,1.76
Winter,,2019,1.63,1.07
Winter,,2020,2.165,3.82
Winter,,2021,2.353,1.39
